PHOTO,NAME,INSTAGRAM,NOTES
,RYO OMASA,@ryo_omasa,iFSC Men's Speed Rank #8
,SAM AVEZOU,@sam_avezou,"Paris 2024 Olympics

2022 European Championships Silver"
,SAMUEL RICHARD,@saam.richard,iFSC Men's Boulder Rank #19
,SAMUEL WATSON,@samuelwatson__,"iFSC Men's Speed Rank #1

Paris 2024 Olympics

Speed world record holder 4.64s"
,SATONE YOSHIDA,@satone_yoshida,iFSC Men's Lead Rank #2
,SEAN BAILEY,@seanbailey,World Cup 2021 3 Gold
,SHAOQIN ZHANG,@boulderingfish,"iFSC Women's Speed Rank #9

Wujiang 2025 World Cup Gold (speed)"
,SHION OMATA,@o_shion323.3z,iFSC Men's Lead Rank #5
,SIERRA BLAIR-COYLE,@sierrablaircoyl,Youngest World Cup qualifier in 2010
,SOFYA YOKOYAMA,@sofya_yokoyama,iFSC Women's Boulder Rank #29
,SOHTA AMAGASA,@sohta_amagasa,Innsbruck 2024 World Cup Gold (bouldering)
,SORATO ANRAKU,@anraku_sorato,"iFSC Men's Lead Rank #1

Paris 2024 Olympics Silver (combined)"
,STEFANO GHISOLFI,@steghiso,Fourth climber in history to redpoint a 9b+ (5.15c) route
,THOMAS LEMAGNER,@thomaslemagner,2023 European Games Gold (bouldering)
,TOBY ROBERTS,@toby_climbing,"Paris 2024 Olympics Gold (combined)

Youngest Briton to redpoint 8a, 8b, 9a, and 9a+"
,TOMMY CALDWELL,@tommycaldwell,"First to free climb a big wall route at 9a (5.14d) with The Dawn Wall 

Speed record holder on The Nose"
,TOMOA NARASAKI,@tomoa_narasaki,"3-time World Cup and World Championship winner

Tokyo 2020 and Paris 2024 Olympics"
,VADIM TIMONOV,@vadim_timonov,3rd place European Bouldering Championship 2019
,VEDDRIQ LEONARDO,@veddriq,"iFSC Men's Speed Rank #3

Paris 2024 Olympics Gold (speed)"
,VITA LUKAN,@vitalukan,2018 Summer Youth Olympics Silver (combined)
,WILL GADD,@realwillgadd,"United Nations 'Mountain Hero'

Achieved first one-day ascent of tallest mountain in Canadian Rockies"
,WILLIAM BOSI,@will_bosi,First Briton to climb 9b+ (5.15c)
,YAFEI ZHOU,@zhou_ya_fe_i,"iFSC Women's Speed Rank #3

Seoul 2024 World Cup Gold (speed)"
,YAROSLAV TKACH,@tkachyar,"iFSC Men's Speed Rank #10

Birmingham 2022 World Games Bronze (speed)"
,YUFEI PAN,@yfei_pan,Bern 2025 Boulder Gold
,YUETONG ZHANG,@zyue_tong,Paris 2024 Olympics (combined)
,YUJI FUJIWAKI,@possamyuji,5th Place Curitaba World Cup 2025
,ZACH HAMMER,@climber_zaq,"iFSC Men's Speed Rank #6

Paris 2024 Olympics"
,ZELIA AVEZOU,@zelia_avezou,2023 European Games Bouldering Gold
